feedback_id,student_id,course_id,instructor_id,semester,overall_rating,course_content_rating,instructor_effectiveness,difficulty_level,workload_rating,recommendation_score,attendance_rate,assignment_quality,feedback_date,created_at,satisfaction_score,difficulty_category,performance_category
23,STU023,COURSE01,INST05,Summer2024,2,5,2,2,3,2,0.89,5,2024-07-13,2025-07-13 19:08:26,2.75,Easy,Poor
24,STU024,COURSE09,INST03,Fall2024,2,5,3,1,1,2,0.78,3,2024-07-13,2025-07-13 19:08:26,3.0,Easy,Good
25,STU025,COURSE09,INST03,Spring2024,3,2,1,4,4,4,0.71,5,2024-07-13,2025-07-13 19:08:26,2.5,Hard,Poor
26,STU026,COURSE08,INST03,Summer2024,4,4,5,1,1,2,0.93,2,2024-07-13,2025-07-13 19:08:26,3.75,Easy,Good
27,STU027,COURSE06,INST04,Spring2024,3,2,3,3,4,4,0.93,1,2024-07-13,2025-07-13 19:08:26,3.0,Moderate,Good
28,STU028,COURSE05,INST03,Spring2024,3,5,5,5,3,2,0.65,1,2024-07-13,2025-07-13 19:08:26,3.75,Very Hard,Good
29,STU029,COURSE10,INST05,Spring2024,3,2,1,2,1,4,0.61,2,2024-07-13,2025-07-13 19:08:26,2.5,Easy,Poor
30,STU030,COURSE09,INST02,Fall2024,5,5,2,1,2,4,0.8,5,2024-07-13,2025-07-13 19:08:26,4.0,Easy,Excellent
31,STU031,COURSE05,INST05,Summer2024,2,2,3,2,4,1,0.79,4,2024-07-13,2025-07-13 19:08:26,2.0,Easy,Poor
32,STU032,COURSE04,INST03,Summer2024,3,4,5,5,2,4,0.99,2,2024-07-13,2025-07-13 19:08:26,4.0,Very Hard,Excellent
33,STU033,COURSE05,INST01,Fall2024,2,1,4,4,2,4,0.8,2,2024-07-13,2025-07-13 19:08:26,2.75,Hard,Poor
34,STU034,COURSE02,INST05,Fall2024,4,4,5,4,2,2,0.66,2,2024-07-13,2025-07-13 19:08:26,3.75,Hard,Good
35,STU035,COURSE01,INST03,Spring2024,3,1,5,3,2,5,0.67,4,2024-07-13,2025-07-13 19:08:26,3.5,Moderate,Good
36,STU036,COURSE02,INST01,Summer2024,3,1,1,5,2,3,0.86,4,2024-07-13,2025-07-13 19:08:26,2.0,Very Hard,Poor
37,STU037,COURSE09,INST02,Spring2024,5,5,5,4,3,2,0.96,4,2024-07-13,2025-07-13 19:08:26,4.25,Hard,Excellent
38,STU038,COURSE05,INST01,Fall2024,5,3,2,3,4,2,0.87,3,2024-07-13,2025-07-13 19:08:26,3.0,Moderate,Good
39,STU039,COURSE06,INST05,Summer2024,4,4,5,3,5,2,0.93,1,2024-07-13,2025-07-13 19:08:26,3.75,Moderate,Good
40,STU040,COURSE04,INST02,Spring2024,4,3,4,4,2,5,0.78,5,2024-07-13,2025-07-13 19:08:26,4.0,Hard,Excellent
41,STU041,COURSE07,INST02,Summer2024,5,1,2,3,5,1,0.84,4,2024-07-13,2025-07-13 19:08:26,2.25,Moderate,Poor
42,STU042,COURSE08,INST05,Summer2024,5,2,1,4,3,3,0.99,1,2024-07-13,2025-07-13 19:08:26,2.75,Hard,Poor
43,STU043,COURSE07,INST03,Summer2024,2,5,5,4,5,2,0.95,1,2024-07-13,2025-07-13 19:08:26,3.5,Hard,Good
44,STU044,COURSE06,INST04,Spring2024,1,5,4,1,4,1,0.93,2,2024-07-13,2025-07-13 19:08:26,2.75,Easy,Poor
45,STU045,COURSE08,INST01,Fall2024,2,2,5,3,3,4,0.74,5,2024-07-13,2025-07-13 19:08:26,3.25,Moderate,Good
46,STU046,COURSE06,INST01,Spring2024,2,1,4,2,4,1,0.86,3,2024-07-13,2025-07-13 19:08:26,2.0,Easy,Poor
47,STU047,COURSE01,INST05,Summer2024,4,4,5,5,4,5,0.91,4,2024-07-13,2025-07-13 19:08:26,4.5,Very Hard,Excellent
48,STU048,COURSE08,INST02,Summer2024,5,2,3,3,1,2,0.94,3,2024-07-13,2025-07-13 19:08:26,3.0,Moderate,Good
49,STU049,COURSE01,INST04,Fall2024,2,5,5,1,5,4,0.88,3,2024-07-13,2025-07-13 19:08:26,4.0,Easy,Excellent
50,STU050,COURSE02,INST03,Fall2024,1,5,2,4,4,3,0.65,4,2024-07-13,2025-07-13 19:08:26,2.75,Hard,Poor
51,STU051,COURSE02,INST05,Fall2024,4,2,4,3,1,2,0.7,1,2024-07-13,2025-07-13 19:08:26,3.0,Moderate,Good
52,STU052,COURSE03,INST01,Summer2024,1,2,1,1,2,2,0.7,4,2024-07-13,2025-07-13 19:08:26,1.5,Easy,Poor
53,STU053,COURSE08,INST01,Spring2024,2,1,1,3,1,4,0.97,3,2024-07-13,2025-07-13 19:08:26,2.0,Moderate,Poor
54,STU054,COURSE09,INST03,Spring2024,4,1,4,3,4,5,0.68,3,2024-07-13,2025-07-13 19:08:26,3.5,Moderate,Good
55,STU055,COURSE08,INST03,Spring2024,2,1,4,3,5,2,0.98,2,2024-07-13,2025-07-13 19:08:26,2.25,Moderate,Poor
56,STU056,COURSE10,INST04,Summer2024,3,4,5,1,1,3,1.0,1,2024-07-13,2025-07-13 19:08:26,3.75,Easy,Good
57,STU057,COURSE08,INST03,Summer2024,5,3,5,3,3,4,0.62,1,2024-07-13,2025-07-13 19:08:26,4.25,Moderate,Excellent
58,STU058,COURSE05,INST04,Spring2024,5,1,3,3,1,5,0.94,3,2024-07-13,2025-07-13 19:08:26,3.5,Moderate,Good
59,STU059,COURSE03,INST02,Fall2024,5,2,4,3,5,4,0.8,1,2024-07-13,2025-07-13 19:08:26,3.75,Moderate,Good
60,STU060,COURSE10,INST05,Fall2024,5,2,2,5,5,1,0.72,1,2024-07-13,2025-07-13 19:08:26,2.5,Very Hard,Poor
61,STU061,COURSE09,INST02,Fall2024,4,4,2,3,2,2,0.89,1,2024-07-13,2025-07-13 19:08:26,3.0,Moderate,Good
62,STU062,COURSE08,INST04,Spring2024,4,4,1,2,4,4,0.67,4,2024-07-13,2025-07-13 19:08:26,3.25,Easy,Good
63,STU063,COURSE08,INST04,Summer2024,3,1,5,3,3,5,0.9,2,2024-07-13,2025-07-13 19:08:26,3.5,Moderate,Good
64,STU064,COURSE07,INST02,Fall2024,3,1,4,3,2,3,0.81,5,2024-07-13,2025-07-13 19:08:26,2.75,Moderate,Poor
65,STU065,COURSE09,INST05,Summer2024,1,2,3,3,2,2,0.72,1,2024-07-13,2025-07-13 19:08:26,2.0,Moderate,Poor
66,STU066,COURSE03,INST01,Summer2024,2,2,2,1,2,5,0.87,3,2024-07-13,2025-07-13 19:08:26,2.75,Easy,Poor
67,STU067,COURSE09,INST01,Fall2024,3,2,2,3,3,3,0.75,3,2024-07-13,2025-07-13 19:08:26,2.5,Moderate,Poor
68,STU068,COURSE09,INST05,Fall2024,2,4,4,5,2,5,0.71,1,2024-07-13,2025-07-13 19:08:26,3.75,Very Hard,Good
69,STU069,COURSE07,INST05,Fall2024,2,1,1,1,5,5,0.64,2,2024-07-13,2025-07-13 19:08:26,2.25,Easy,Poor
70,STU070,COURSE09,INST05,Fall2024,4,4,5,2,1,1,1.0,3,2024-07-13,2025-07-13 19:08:26,3.5,Easy,Good
71,STU071,COURSE06,INST03,Summer2024,4,1,2,4,1,3,0.96,2,2024-07-13,2025-07-13 19:08:26,2.5,Hard,Poor
72,STU072,COURSE02,INST05,Fall2024,3,1,1,2,1,4,0.88,2,2024-07-13,2025-07-13 19:08:26,2.25,Easy,Poor
73,STU073,COURSE03,INST04,Fall2024,5,4,1,4,1,5,0.79,2,2024-07-13,2025-07-13 19:08:26,3.75,Hard,Good
74,STU074,COURSE05,INST03,Spring2024,1,1,1,2,1,1,0.65,5,2024-07-13,2025-07-13 19:08:26,1.0,Easy,Poor
75,STU075,COURSE05,INST01,Fall2024,5,2,4,1,4,5,0.74,5,2024-07-13,2025-07-13 19:08:26,4.0,Easy,Excellent
76,STU076,COURSE04,INST05,Spring2024,3,5,1,5,2,3,0.94,4,2024-07-13,2025-07-13 19:08:26,3.0,Very Hard,Good
77,STU077,COURSE09,INST03,Fall2024,2,4,1,4,1,1,0.73,1,2024-07-13,2025-07-13 19:08:26,2.0,Hard,Poor
78,STU078,COURSE06,INST03,Fall2024,5,5,3,5,3,4,0.76,2,2024-07-13,2025-07-13 19:08:26,4.25,Very Hard,Excellent
79,STU079,COURSE05,INST04,Spring2024,5,2,5,3,3,2,0.71,4,2024-07-13,2025-07-13 19:08:26,3.5,Moderate,Good
80,STU080,COURSE01,INST02,Fall2024,4,3,3,1,3,4,0.75,2,2024-07-13,2025-07-13 19:08:26,3.5,Easy,Good
81,STU081,COURSE05,INST02,Summer2024,5,3,4,2,3,2,0.67,2,2024-07-13,2025-07-13 19:08:26,3.5,Easy,Good
82,STU082,COURSE10,INST02,Fall2024,4,5,1,2,1,5,0.85,5,2024-07-13,2025-07-13 19:08:26,3.75,Easy,Good
83,STU083,COURSE07,INST04,Summer2024,2,4,4,3,1,5,0.66,1,2024-07-13,2025-07-13 19:08:26,3.75,Moderate,Good
84,STU084,COURSE10,INST05,Summer2024,5,3,4,1,3,5,1.0,4,2024-07-13,2025-07-13 19:08:26,4.25,Easy,Excellent
85,STU085,COURSE04,INST03,Fall2024,5,4,3,2,1,2,0.65,1,2024-07-13,2025-07-13 19:08:26,3.5,Easy,Good
86,STU086,COURSE10,INST02,Spring2024,3,2,1,1,2,2,0.76,3,2024-07-13,2025-07-13 19:08:26,2.0,Easy,Poor
87,STU087,COURSE09,INST02,Fall2024,1,5,1,2,2,5,0.75,2,2024-07-13,2025-07-13 19:08:26,3.0,Easy,Good
88,STU088,COURSE06,INST01,Summer2024,2,5,2,2,4,4,0.78,2,2024-07-13,2025-07-13 19:08:26,3.25,Easy,Good
89,STU089,COURSE06,INST02,Summer2024,4,3,5,3,4,3,0.84,4,2024-07-13,2025-07-13 19:08:26,3.75,Moderate,Good
90,STU090,COURSE08,INST03,Fall2024,3,3,5,1,2,1,0.95,5,2024-07-13,2025-07-13 19:08:26,3.0,Easy,Good
91,STU091,COURSE03,INST05,Spring2024,3,4,2,5,1,3,0.8,3,2024-07-13,2025-07-13 19:08:26,3.0,Very Hard,Good
92,STU092,COURSE04,INST04,Fall2024,3,2,4,3,1,1,0.74,5,2024-07-13,2025-07-13 19:08:26,2.5,Moderate,Poor
93,STU093,COURSE07,INST02,Fall2024,1,4,5,1,2,5,0.73,4,2024-07-13,2025-07-13 19:08:26,3.75,Easy,Good
94,STU094,COURSE04,INST05,Fall2024,5,3,1,1,2,2,0.9,2,2024-07-13,2025-07-13 19:08:26,2.75,Easy,Poor
95,STU095,COURSE05,INST04,Summer2024,3,5,5,4,3,3,1.0,1,2024-07-13,2025-07-13 19:08:26,4.0,Hard,Excellent
96,STU096,COURSE06,INST02,Spring2024,3,4,5,3,3,1,0.86,4,2024-07-13,2025-07-13 19:08:26,3.25,Moderate,Good
97,STU097,COURSE09,INST04,Spring2024,5,3,1,3,1,4,0.63,3,2024-07-13,2025-07-13 19:08:26,3.25,Moderate,Good
98,STU098,COURSE06,INST01,Spring2024,2,1,3,1,4,3,0.63,1,2024-07-13,2025-07-13 19:08:26,2.25,Easy,Poor
99,STU099,COURSE03,INST04,Summer2024,5,2,1,5,1,3,0.99,1,2024-07-13,2025-07-13 19:08:26,2.75,Very Hard,Poor
100,STU100,COURSE06,INST05,Spring2024,5,1,3,1,5,5,0.81,5,2024-07-13,2025-07-13 19:08:26,3.5,Easy,Good
